,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-07-06,603.574659455398,479.39214869776526,705.4364678387057,603.574659455398,603.574659455398,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,-8.939251645298974,0.0,0.0,0.0,594.635407810099
1,2021-07-07,606.6896184343422,486.40111147415007,717.0822191161494,606.6896184343422,606.6896184343422,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,-6.863497168399733,0.0,0.0,0.0,599.8261212659424
2,2021-07-08,609.8045774132863,490.638551420216,702.2784677534904,609.8045774132863,609.8045774132863,-15.316795300335409,-15.316795300335409,-15.316795300335409,-15.316795300335409,-15.316795300335409,-15.316795300335409,0.0,0.0,0.0,594.4877821129509
3,2021-07-09,612.9195363922305,473.9942068423036,702.8656831655626,612.9195363922305,612.9195363922305,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,-19.723812365582205,0.0,0.0,0.0,593.1957240266483
4,2021-07-12,622.2644133290631,512.9908913814546,731.1268114704361,622.2644133290631,622.2644133290631,-3.647595290432601,-3.647595290432601,-3.647595290432601,-3.647595290432601,-3.647595290432601,-3.647595290432601,0.0,0.0,0.0,618.6168180386305
5,2021-07-13,625.3793723080073,507.7642354075204,734.9609538926371,625.3793723080073,625.3793723080073,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,-8.939251645284898,0.0,0.0,0.0,616.4401206627224
6,2021-07-14,628.4943312869515,509.32544327172184,728.0572021736335,628.4943312869515,628.4943312869515,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,-6.863497168388089,0.0,0.0,0.0,621.6308341185634
7,2021-07-15,631.6092902658957,504.9060903221247,723.7915563144225,631.6092902658957,631.6092902658957,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,-15.316795300261763,0.0,0.0,0.0,616.2924949656339
8,2021-07-16,634.7242492448398,499.3061306547909,727.8001857523911,634.7242492448398,634.7242492448398,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,-19.723812365552938,0.0,0.0,0.0,615.0004368792869
9,2021-07-19,644.0691262847552,529.1627808394221,747.8844660229893,644.0691262847552,644.0691262847552,-3.647595290348391,-3.647595290348391,-3.647595290348391,-3.647595290348391,-3.647595290348391,-3.647595290348391,0.0,0.0,0.0,640.4215309944068
10,2021-07-20,647.1840852980605,524.044579007295,757.4343329021658,647.1840852980605,647.1840852980605,-8.939251645299738,-8.939251645299738,-8.939251645299738,-8.939251645299738,-8.939251645299738,-8.939251645299738,0.0,0.0,0.0,638.2448336527608
11,2021-07-21,650.2990443113655,534.3979289631702,758.1149431937671,650.2990443113655,650.2990443113655,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,-6.863497168396339,0.0,0.0,0.0,643.4355471429692
12,2021-07-22,653.4140033246707,524.0244383444342,748.9767788328729,653.4140033246707,653.4140033246707,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,-15.31679530027247,0.0,0.0,0.0,638.0972080243982
13,2021-07-23,656.5289623379758,532.170431744609,756.847419188624,656.5289623379758,656.5289623379758,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,-19.723812365536322,0.0,0.0,0.0,636.8051499724395
14,2021-07-26,665.8738393778913,540.3164221096281,776.1358110673228,665.8738393778913,665.8738393778913,-3.6475952903758957,-3.6475952903758957,-3.6475952903758957,-3.6475952903758957,-3.6475952903758957,-3.6475952903758957,0.0,0.0,0.0,662.2262440875154
15,2021-07-27,668.9887983911964,546.91306802854,770.3113451751541,668.9887983911964,668.9887983911964,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,-8.939251645256736,0.0,0.0,0.0,660.0495467459397
16,2021-07-28,672.1037574045016,556.5777720638001,785.5545531676352,672.1037574045016,672.1037574045016,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,-6.863497168384215,0.0,0.0,0.0,665.2402602361174
17,2021-07-29,675.2187166610078,547.3513532571105,769.9846635062744,675.2187166610078,675.2187166610078,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,-15.316795300290979,0.0,0.0,0.0,659.9019213607168
18,2021-07-30,678.3336759175139,534.8551722146476,768.4234420996512,678.3336759175139,678.3336759175139,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,0.0,0.0,0.0,658.6098635518821
19,2021-08-02,687.6785536870325,566.6556310915963,794.2010024306583,687.6785536870325,687.6785536870325,-3.6475952904034097,-3.6475952904034097,-3.6475952904034097,-3.6475952904034097,-3.6475952904034097,-3.6475952904034097,0.0,0.0,0.0,684.0309583966291
20,2021-08-03,690.7935129435386,570.8770829854572,789.3813760818383,690.7935129435386,690.7935129435386,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,0.0,0.0,0.0,681.854261298267
21,2021-08-04,693.9084722000449,576.5842150784356,805.5163863592242,693.9084722000449,693.9084722000449,-6.863497168392466,-6.863497168392466,-6.863497168392466,-6.863497168392466,-6.863497168392466,-6.863497168392466,0.0,0.0,0.0,687.0449750316525
